measure,condition,n_odd_trials,n_even_trials,split_half_r,spearman_brown_r,r_lower_ci,r_upper_ci,reliability_interpretation
accuracy,angle_0.0,2781,2666,0.40296980878531474,0.5744525737645121,0.48126002450051897,0.6548045506826055,Poor
rt,angle_0.0,2781,2666,0.8013478995713843,0.889720303070893,0.859404343014036,0.9138024140542975,Good
accuracy,angle_50.0,2721,2740,0.6034177197225934,0.7526644021708709,0.6908357238308012,0.8035646905203702,Acceptable
rt,angle_50.0,2721,2740,0.8485128755397735,0.9180491916151833,0.8950885159963236,0.9361540462257288,Excellent
accuracy,angle_100.0,2720,2707,0.5124349488867642,0.6776290765615337,0.6013099843266695,0.7416954241567886,Questionable
rt,angle_100.0,2720,2707,0.8421033376640003,0.9142845794220041,0.8903294575968301,0.9331921563635558,Excellent
accuracy,angle_150.0,2724,2713,0.5222321416821507,0.6861399485430064,0.6113689873225714,0.748768184132656,Questionable
rt,angle_150.0,2724,2713,0.8411401528553173,0.9137165919181567,0.8896118867236756,0.9327450568228005,Excellent
overall_accuracy,all,10946,10826,0.7666498132511267,0.8679137285733814,0.8321356327002971,0.8964969865798605,Good
rt_slope,all,10946,10826,0.5945324694500206,0.7457138450809775,0.682462462979984,0.7978795646660117,Acceptable
rt_intercept,all,10946,10826,0.8534488750303446,0.9209305813912693,0.8987345808448178,0.9384193069975866,Excellent
overall_rt,all,9534,9438,0.9538487621172427,0.9763793192300377,0.9695015017304431,0.981720492934418,Excellent
