measure,condition,mean,sd,min,max,n
d_prime_SS3_D1,VA,2.288928931507891,0.7358927176931996,0.6594875889217631,3.605486181478381,155
d_prime_SS3_D3,VA,2.1037264668107105,0.8281681096255323,0.1968226168315543,3.605486181478381,155
d_prime_SS5_D1,VA,1.323178788102391,0.7007842665223922,-0.5659488219328631,3.194901910791553,155
d_prime_SS5_D3,VA,1.115346002688317,0.6674078358485713,-0.8593300540540564,3.267976883424713,155
d_prime_average,Overall,1.707795047277327,0.56632435359027,0.6349499290199776,3.241228627211302,155
d_prime_set_size_3,VA,2.196327699159301,0.689088400179093,0.6465771311271116,3.571568129257897,155
d_prime_set_size_5,VA,1.219262395395354,0.5686872620819912,-0.138356218781422,3.0796437741915414,155
d_prime_delay_1,Overall,1.806053859805141,0.6302961847495766,0.2631178569918091,3.3646546988264943,155
d_prime_delay_3,Overall,1.6095362347495135,0.6300542458891261,0.14132630114875178,3.419772506341305,155
set_size_effect_delay1,VA,0.9657501434054998,0.6900581412308181,-0.9740317568892414,2.5337399705583024,155
set_size_effect_delay3,VA,0.9883804641223932,0.8214121153561962,-1.046222037347849,3.29198541284128,155
delay_effect_size3,VA,0.18520246469718077,0.7452715789990215,-1.7335657004144256,2.0710749984680934,155
delay_effect_size5,VA,0.20783278541407416,0.761211407493054,-1.4652337926855226,2.451644750545322,155
accuracy_angle_0,MRT,0.9407483470246443,0.06925356883663955,0.625,1.0,155
accuracy_angle_100,MRT,0.8643826963460424,0.10860541261196646,0.5217391304347826,1.0,155
accuracy_angle_150,MRT,0.8357532617383115,0.13259272219777704,0.3333333333333333,1.0,155
accuracy_angle_50,MRT,0.8981024025063296,0.11303093958686865,0.3478260869565217,1.0,155
accuracy_overall,Overall,0.8847466769038319,0.08738087994012901,0.5978260869565217,1.0,155
accuracy_small_angles,MRT,0.919425374765487,0.07868119435728006,0.608695652173913,1.0,155
accuracy_large_angles,MRT,0.8500679790421769,0.10893627745894605,0.5,1.0,155
rt_angle_0,MRT,1.9039900048824194,0.5022449551518926,1.0341363636363636,3.183436363636363,155
rt_angle_100,MRT,2.9314766618261685,0.7892024529687794,0.8461071428571428,5.6195,155
rt_angle_150,MRT,3.070287341888042,0.8178952721467408,0.8431083333333333,5.855916666666666,155
rt_angle_50,MRT,2.467147997193402,0.7253165327174431,0.8737769230769229,5.012555555555555,155
rt_overall,Overall,2.593225501447508,0.6610044590829594,0.9199371623168499,4.844731691919192,155
rt_by_angle_slope,MRT,0.007926441351299222,0.0038245229889724668,-0.0016972270604395,0.0247499181818181,155
rt_by_angle_intercept,MRT,1.9987424001000627,0.548838004514044,1.0414950000000005,3.728120846702317,155
rt_small_angles,MRT,2.1855690010379107,0.582058433564424,0.9952665865384616,3.9738431818181814,155
rt_large_angles,MRT,3.0008820018571054,0.7826931442644612,0.8446077380952381,5.737708333333334,155
rt_by_angle_slope,MRT,0.007926441351299222,0.0038245229889724668,-0.0016972270604395,0.0247499181818181,155
rt_by_angle_intercept,MRT,1.9987424001000627,0.548838004514044,1.0414950000000005,3.728120846702317,155
